NODE_9_length_6217_cov_14.052246_g6_i0,tr|B9F769|B9F769_ORYSJ Protein kinase domain-containing protein OS=Oryza sativa subsp. japonica OX=39947 GN=OsJ_10239 PE=3 SV=1,33.3,309,188,5,6048,5131,82,375,9.96e-41,163
NODE_9_length_6217_cov_14.052246_g6_i0,tr|L7RGQ5|L7RGQ5_9VIRU Protein Tyrosine Kinase (PTK) family protein OS=Acanthamoeba polyphaga moumouvirus OX=1269028 GN=Moumou_00787 PE=4 SV=1,30.9,288,155,11,5976,5128,1319,1567,7.90e-24,117
NODE_9_length_6217_cov_14.052246_g6_i0,tr|A0A1S5V1Y4|A0A1S5V1Y4_9VIRU Protein tyrosine kinase (PTK) family protein OS=Saudi moumouvirus OX=1956188 PE=4 SV=1,30.9,288,155,11,5976,5128,1363,1611,1.37e-23,116
NODE_9_length_6217_cov_14.052246_g6_i0,tr|H2ED63|H2ED63_9VIRU Putative serine_threonine protein kinase receptor OS=Moumouvirus Monve OX=1128131 GN=mv_L131 PE=4 SV=1,30.9,288,155,11,5976,5128,1363,1611,1.37e-23,116
NODE_9_length_6217_cov_14.052246_g6_i0,tr|A0A2P1EMR8|A0A2P1EMR8_9VIRU Putative serine/threonine protein kinase receptor OS=Moumouvirus australiensis OX=2109587 GN=mc_775 PE=4 SV=1,33.8,198,117,5,5976,5398,1364,1552,3.09e-23,115
NODE_17_length_5832_cov_16.362563_g11_i0,tr|A0A7S8WJS0|A0A7S8WJS0_9VIRU RNA-directed DNA polymerase OS=Aedes aegypti To virus 2 OX=2789886 PE=4 SV=1,30.1,439,296,7,2845,1547,252,685,8.45e-48,194
NODE_17_length_5832_cov_16.362563_g11_i0,tr|A0A482JV36|A0A482JV36_9VIRU RdRP OS=Lampyris noctiluca errantivirus 1 OX=2552986 PE=4 SV=1,30.7,423,282,7,2845,1601,35,454,8.15e-46,188
NODE_17_length_5832_cov_16.362563_g11_i0,tr|A0A7S8ZX98|A0A7S8ZX98_9VIRU Putative RNA-dependent RNA polymerase OS=Aedes aegypti To virus 1 OX=2789885 PE=4 SV=1,29.6,389,267,4,2695,1544,14,400,1.39e-43,179
NODE_17_length_5832_cov_16.362563_g11_i0,tr|A0A6B9KG65|A0A6B9KG65_9VIRU RNA-directed DNA polymerase OS=Chibugado virus OX=2689361 PE=4 SV=1,27.0,440,306,7,2806,1520,220,655,1.29e-39,168
NODE_17_length_5832_cov_16.362563_g11_i0,tr|A0A8J9SL00|A0A8J9SL00_9VIRU RNA-directed DNA polymerase (Fragment) OS=Ceratitis capitata metavirus 2 OX=2812454 PE=4 SV=1,29.4,452,290,9,2758,1472,183,628,1.17e-37,161
NODE_20_length_5681_cov_14.309914_g6_i1,tr|B9F769|B9F769_ORYSJ Protein kinase domain-containing protein OS=Oryza sativa subsp. japonica OX=39947 GN=OsJ_10239 PE=3 SV=1,33.3,309,188,5,5512,4595,82,375,8.93e-41,163
NODE_20_length_5681_cov_14.309914_g6_i1,tr|L7RGQ5|L7RGQ5_9VIRU Protein Tyrosine Kinase (PTK) family protein OS=Acanthamoeba polyphaga moumouvirus OX=1269028 GN=Moumou_00787 PE=4 SV=1,30.9,288,155,11,5440,4592,1319,1567,6.99e-24,117
NODE_20_length_5681_cov_14.309914_g6_i1,tr|A0A1S5V1Y4|A0A1S5V1Y4_9VIRU Protein tyrosine kinase (PTK) family protein OS=Saudi moumouvirus OX=1956188 PE=4 SV=1,30.9,288,155,11,5440,4592,1363,1611,1.22e-23,116
